id,title,text
b1,배송 안내,주문한 도서는 결제 완료 후 보통 2~3일 안에 배송됩니다. 3만원 이상 주문은 배송비가 무료이며 그 미만은 3000원이 부과됩니다. 배송 조회는 마이페이지의 주문 내역에서 확인할 수 있습니다.
b2,반품·교환,받은 도서에 문제가 있으면 수령 후 7일 이내에 반품·교환을 신청할 수 있습니다. 단순 변심은 왕복 배송비를 고객이 부담합니다. 파본·오배송은 배송비 없이 새 상품으로 교환해 드립니다.
b3,회원 등급,회원 등급은 최근 6개월 구매액으로 산정되며 일반·우수·최우수로 나뉩니다. 등급이 높을수록 적립률과 무료배송 기준이 좋아집니다. 등급은 매월 1일에 갱신됩니다.
b4,포인트 적립·사용,구매 금액의 일정 비율이 포인트로 적립되며 결제 시 현금처럼 쓸 수 있습니다. 포인트는 적립일로부터 1년간 유효합니다. 이벤트 포인트는 사용 기한이 더 짧을 수 있으니 유의하세요.
b5,전자책 이용,전자책은 결제 즉시 내 서재에 추가되어 전용 앱에서 바로 읽을 수 있습니다. 한 계정으로 최대 5대의 기기에서 볼 수 있습니다. 전자책은 환불이 제한되니 미리보기로 확인 후 구매하세요.
b6,결제 수단,신용카드·간편결제·계좌이체로 결제할 수 있습니다. 5만원 이상은 무이자 할부가 가능합니다. 해외 발행 카드는 일부 결제가 제한될 수 있습니다.
b7,주문 취소,배송 준비 전 단계에서는 주문을 즉시 취소할 수 있습니다. 이미 발송된 주문은 취소 대신 반품으로 처리됩니다. 취소 시 결제 수단에 따라 환불까지 3~5일이 걸립니다.
b8,품절·재입고,품절 도서는 상세 페이지에서 재입고 알림을 신청할 수 있습니다. 재입고 시점은 출판사 사정에 따라 달라집니다. 오래 품절인 도서는 절판으로 전환될 수 있습니다.
b9,영수증·증빙,현금영수증과 세금계산서는 마이페이지에서 발급할 수 있습니다. 사업자 증빙은 주문 시 사업자 정보를 입력해야 합니다. 발급 내역은 언제든 다시 조회할 수 있습니다.
b10,선물하기,도서를 선물하면 받는 분의 연락처로 선물 링크가 전송됩니다. 받는 분이 주소를 입력하면 배송이 시작됩니다. 선물은 수락 전까지 취소하고 환불받을 수 있습니다.
b11,해외 배송,해외 배송은 항공 특송으로만 제공되며 국가에 따라 7~14일이 걸립니다. 해외 배송비는 무게로 계산되고 무료배송 기준이 적용되지 않습니다. 통관 과정에서 관세가 붙을 수 있으며 이는 수령인이 부담합니다.
b12,중고도서,중고도서는 상태를 최상·상·중으로 나누어 표시합니다. 중고도서는 재고가 한 권뿐이라 장바구니에 담아도 다른 고객이 먼저 결제하면 주문이 취소됩니다. 중고도서는 단순 변심 반품이 되지 않습니다.
b13,예약 판매,출간 전 도서는 예약 판매로 미리 주문할 수 있습니다. 예약 도서는 출간일에 맞춰 일괄 발송되며 다른 도서와 함께 주문하면 전체가 출간일에 함께 나갑니다. 예약은 출간 전까지 언제든 취소할 수 있습니다.
b14,정기구독,잡지와 정기간행물은 3개월·6개월·12개월 단위로 구독할 수 있습니다. 구독료는 첫 결제일에 한 번에 청구되며 중간 해지 시 남은 회차분이 환불됩니다. 구독 도서는 매월 같은 주소로 자동 발송됩니다.
b15,쿠폰,쿠폰은 마이페이지의 쿠폰함에서 확인하고 결제 단계에서 적용합니다. 쿠폰은 한 주문에 하나만 쓸 수 있으며 포인트와는 함께 쓸 수 있습니다. 쿠폰 할인액은 반품 시 복원되지 않습니다.
b16,매장 수령,온라인으로 주문하고 오프라인 매장에서 받는 매장 수령을 신청할 수 있습니다. 매장 수령은 배송비가 들지 않으며 준비 완료 문자를 받은 뒤 방문하면 됩니다. 준비 후 7일이 지나면 자동으로 주문이 취소됩니다.
b17,회원 탈퇴,회원 탈퇴는 마이페이지의 회원정보에서 신청합니다. 탈퇴하면 보유 포인트와 쿠폰은 모두 소멸되며 복구되지 않습니다. 진행 중인 주문이 있으면 배송이 끝난 뒤에 탈퇴할 수 있습니다.
b18,도서 검색,제목·저자·출판사·ISBN 으로 도서를 찾을 수 있습니다. 검색 결과는 정확도순이 기본이고 판매량순·출간일순으로 바꿀 수 있습니다. 원하는 책이 없으면 도서 신청 게시판에 요청할 수 있습니다.
b19,리뷰 작성,구매한 도서는 배송 완료 후 리뷰를 쓸 수 있고 리뷰를 쓰면 포인트가 적립됩니다. 한 도서에 리뷰는 한 번만 쓸 수 있으며 수정은 언제든 가능합니다. 광고성 리뷰는 안내 없이 삭제될 수 있습니다.
b20,개인정보 변경,주소와 연락처는 마이페이지의 회원정보에서 바로 바꿀 수 있습니다. 이름과 생년월일은 본인 확인을 거쳐야 변경됩니다. 주소를 바꿔도 이미 발송된 주문의 배송지는 바뀌지 않습니다.
b21,배송 지연,재고 확인이 늦어지거나 천재지변이 있으면 배송이 지연될 수 있습니다. 지연이 예상되면 문자로 안내드리며 원하시면 주문을 취소할 수 있습니다. 지연 보상은 배송비 환불로 처리됩니다.
b22,묶음 배송,같은 날 주문한 여러 도서는 묶음으로 한 번에 배송됩니다. 예약 도서나 해외 배송 도서가 섞이면 묶이지 않고 따로 나갑니다. 묶음 배송이면 배송비도 한 번만 부과됩니다.
