id,name,category,price,description
p01,경량 등산 배낭 30L,등산용품,89000,가볍고 통기성 좋은 등받이를 갖춘 30리터 배낭으로 당일 산행에 필요한 짐을 넉넉히 담는다.
p02,방수 트레킹화,등산용품,119000,빗길과 계곡물에도 발이 젖지 않는 방수 소재의 등산화로 미끄럼을 막는 밑창을 달았다.
p03,접이식 등산 스틱,등산용품,34000,길이를 조절해 접을 수 있는 가벼운 지팡이로 오르막과 내리막에서 무릎 부담을 덜어 준다.
p04,무선 블루투스 이어폰,전자기기,129000,선 없이 귀에 꽂아 쓰는 이어폰으로 주변 소음을 줄여 음악과 통화에 집중하게 해 준다.
p05,휴대용 보조배터리 20000mAh,전자기기,39000,스마트폰을 여러 번 충전할 수 있는 대용량 보조 배터리로 여행이나 외출 시 방전 걱정을 던다.
p06,기계식 게이밍 키보드,전자기기,98000,또각이는 타건감의 스위치를 단 키보드로 게임과 문서 작업 모두에서 빠른 입력을 돕는다.
p07,순면 반팔 티셔츠,의류,19000,땀을 잘 흡수하는 부드러운 면 소재의 반소매 상의로 편하게 걸치기 좋은 기본 티셔츠다.
p08,경량 패딩 점퍼,의류,89000,얇지만 따뜻한 충전재를 넣어 부피가 작게 접히는 겨울 외투로 쌀쌀한 날 가볍게 입는다.
p09,방풍 바람막이 재킷,의류,59000,바람을 막아 주는 얇은 겉옷으로 환절기 등산이나 러닝 때 걸치기 좋은 가벼운 재킷이다.
p10,스테인리스 보온병 500ml,주방용품,24000,뜨거운 물과 차가운 음료의 온도를 오래 유지하는 이중 벽 텀블러로 휴대하기 편하다.
p11,논스틱 프라이팬 28cm,주방용품,32000,음식이 눌어붙지 않는 코팅을 입힌 프라이팬으로 기름을 적게 쓰고도 부침 요리가 잘 된다.
p12,대나무 도마 세트,주방용품,21000,칼자국이 잘 나지 않는 단단한 대나무로 만든 도마로 크기별 세 장이 한 세트로 들어 있다.
p13,아로마 디퓨저,생활용품,27000,은은한 향의 오일을 미세한 안개로 뿜어 방 안 공기를 상쾌하게 채우는 실내 방향 기기다.
p14,극세사 청소 밀대,생활용품,15000,바닥의 먼지와 머리카락을 잘 붙잡는 부드러운 패드를 단 밀대로 물걸레질까지 한 번에 한다.
p15,접이식 빨래 건조대,생활용품,33000,쓰지 않을 때 납작하게 접어 두는 건조대로 좁은 베란다에서도 빨래를 널기 편하다.
p16,어린이 그림 색연필 48색,문구,18000,손에 쥐기 편한 굵기의 색연필 48자루로 부드럽게 칠해지고 색이 선명해 아이 그림에 좋다.
p17,가죽 커버 다이어리,문구,26000,튼튼한 가죽 표지를 씌운 속지 교체형 다이어리로 일정과 메모를 오래 보관하기 좋다.
p18,무소음 볼펜 10자루,문구,9000,쓸 때 소리가 거의 없고 잉크가 부드럽게 나오는 검정 볼펜 열 자루 묶음이다.
p19,캠핑용 접이식 의자,캠핑용품,45000,가볍게 접어 가방에 넣는 야외용 의자로 캠핑장이나 낚시터에서 편하게 앉아 쉴 수 있다.
p20,2인용 방수 텐트,캠핑용품,139000,비바람을 막는 방수 원단으로 만든 두 사람용 텐트로 설치가 간단하고 바람에 잘 견딘다.
p21,휴대용 가스 버너,캠핑용품,42000,부탄가스를 끼워 불을 붙이는 작은 화구로 야외에서 라면을 끓이거나 고기를 굽기 좋다.
