id,분류,제목,본문
h01,휴가,연차휴가,입사 첫해에는 한 달을 개근할 때마다 하루씩 연차가 생기고 1년을 채우면 15일이 한꺼번에 생깁니다. 연차는 회계연도를 기준으로 매년 1월 1일에 새로 부여됩니다. 남은 연차는 다음 해로 이월되지 않습니다.
h02,휴가,반차와 반반차,연차는 하루 단위뿐 아니라 반나절 단위인 반차로도 쓸 수 있습니다. 반차는 오전과 오후 중에서 고르고 두 번 쓰면 연차 하루가 차감됩니다. 2시간 단위인 반반차는 팀장 승인을 받으면 하루에 한 번까지 쓸 수 있습니다.
h03,휴가,연차 사용 촉진,회사는 남은 연차가 많은 직원에게 7월과 10월에 사용 계획서를 요청합니다. 촉진 안내를 받고도 쓰지 않은 연차는 수당으로 보상되지 않습니다. 계획서를 낸 뒤 일정이 바뀌면 팀장과 협의해 날짜를 옮길 수 있습니다.
h04,휴가,경조휴가,"본인 결혼은 5일, 자녀 결혼은 1일의 경조휴가가 주어집니다. 부모와 배우자의 상은 5일, 조부모의 상은 3일입니다. 경조휴가는 사유가 생긴 날부터 이어서 쓰는 것이 원칙입니다."
h05,복리후생,경조사비,"결혼과 출산, 상을 당했을 때 회사가 정한 금액의 경조사비를 지급합니다. 경조사비는 경조휴가와 별도로 신청하며 청첩장이나 가족관계증명서 같은 증빙이 필요합니다. 신청은 사유가 생긴 날부터 30일 안에 해야 합니다."
h06,휴가,병가,아파서 일하기 어려우면 연간 10일까지 병가를 쓸 수 있습니다. 3일을 넘겨 쉴 때는 의사의 진단서를 내야 합니다. 병가 기간의 급여는 기본급을 기준으로 지급됩니다.
h07,휴가,육아휴직,만 8세 이하 자녀를 키우는 직원은 최대 1년의 육아휴직을 쓸 수 있습니다. 휴직은 두 번으로 나누어 쓸 수 있습니다. 복직한 뒤에는 휴직 전과 같은 업무로 돌아가는 것이 원칙입니다.
h08,휴가,출산전후휴가,출산하는 직원은 출산 전후로 90일의 휴가를 받습니다. 휴가는 출산한 뒤에 60일 이상이 남도록 나누어 씁니다. 쌍둥이를 출산하면 120일이 주어집니다.
h09,휴가,배우자 출산휴가,배우자가 출산하면 20일의 휴가를 쓸 수 있습니다. 이 휴가는 출산일부터 120일 안에 나누어 쓸 수 있습니다. 신청할 때는 출생을 확인할 수 있는 서류가 필요합니다.
h10,근무,재택근무,재택근무는 주 2일까지 신청할 수 있고 팀장 승인을 받습니다. 재택하는 날에도 정해진 근무시간에는 연락이 닿아야 합니다. 신청은 전주 금요일까지 근태 시스템에 등록합니다.
