id,title,text
h1,VPN 원격 접속,재택에서 사내 시스템에 접속하려면 사내 VPN 을 켜야 합니다. VPN 클라이언트를 실행하고 사번과 사내 비밀번호로 로그인하면 됩니다. 접속이 안 되면 인터넷 연결과 시간대 설정을 먼저 확인하세요.
h2,비밀번호 초기화,사내 비밀번호를 잊었다면 로그인 화면의 비밀번호 찾기를 누르세요. 등록된 사내 이메일로 재설정 링크가 전송됩니다. 비밀번호는 90일마다 만료되며 최근 3개와 다르게 설정해야 합니다.
h3,사내 메신저 설치,사내 메신저는 포털의 소프트웨어 센터에서 내려받아 설치합니다. 설치 후 사번으로 로그인하면 부서 채널에 자동으로 참여됩니다. 알림이 오지 않으면 앱 설정에서 알림 권한을 켜세요.
h4,프린터 등록,새 프린터를 쓰려면 소프트웨어 센터에서 프린터 추가를 실행하고 가까운 층의 프린터를 선택합니다. 컬러 인쇄는 부서장 승인이 필요합니다. 용지 걸림은 앞면 커버를 열어 천천히 제거하세요.
h5,이메일 용량 초과,사내 메일함 기본 용량은 5기가바이트입니다. 용량이 차면 오래된 첨부 메일부터 정리하거나 보관함으로 옮기세요. 추가 용량은 헬프데스크에 신청하면 부서 승인 후 배정됩니다.
h6,노트북 대여,출장·행사용 노트북은 자산관리팀에서 대여합니다. 포털의 자산 신청 메뉴에서 사용 기간을 적어 신청하면 됩니다. 반납이 늦으면 다음 대여가 제한되니 기한을 지켜 주세요.
h7,화면 공유·화상회의,화상회의는 사내 회의 앱에서 회의를 개설해 링크를 공유합니다. 화면 공유는 회의 중 하단의 공유 버튼으로 켭니다. 소리가 안 들리면 회의 앱의 오디오 장치가 올바른지 확인하세요.
h8,소프트웨어 설치 요청,업무용 유료 소프트웨어는 포털의 소프트웨어 요청으로 신청합니다. 라이선스 비용이 있으면 부서장 승인이 필요합니다. 무료 도구는 소프트웨어 센터에서 바로 설치할 수 있습니다.
h9,와이파이 연결,사내 무선망은 사번 계정으로 접속합니다. 게스트용 무선망은 방문객에게만 제공되며 하루 단위로 만료됩니다. 연결이 자주 끊기면 저장된 네트워크를 지우고 다시 연결해 보세요.
h10,보안 USB 사용,외부 저장장치는 보안 승인을 받은 USB 만 사용할 수 있습니다. 승인은 보안팀에 신청하며 반출 파일은 자동으로 기록됩니다. 승인되지 않은 장치는 연결해도 인식되지 않습니다.
h11,이중 인증 설정,중요 시스템은 사번·비밀번호 외에 이중 인증을 요구합니다. 인증 앱을 설치하고 사내 포털에서 등록 QR 을 스캔하면 됩니다. 휴대폰을 바꾸면 이중 인증을 다시 등록해야 합니다.
h12,장비 고장 신고,모니터·키보드 등 사무 장비가 고장 나면 헬프데스크에 접수합니다. 접수 시 자산 번호를 함께 적으면 처리가 빠릅니다. 긴급 업무 장애는 내선 전화로 우선 신고하세요.
