id,name,region,type,entrance_fee,description
t01,해운대 해수욕장,부산,해변,0,부산을 대표하는 넓은 백사장으로 여름이면 물놀이와 해수욕을 즐기려는 피서객으로 붐빈다.
t02,경포대 해변,강원,해변,0,동해의 맑은 바닷물과 소나무 숲이 어우러진 강릉의 해변으로 일출 명소로도 알려져 있다.
t03,협재 해변,제주,해변,0,에메랄드빛 바다와 하얀 모래가 인상적인 제주 서쪽 해변으로 물빛이 아름답기로 유명하다.
t04,경복궁,서울,역사,3000,조선 왕조의 법궁으로 근정전과 경회루 같은 옛 건물이 남아 왕실의 생활을 보여 주는 고궁이다.
t05,불국사,경북,역사,0,신라 시대에 세운 천 년이 넘은 절로 다보탑과 석가탑이 있어 불교 문화유산으로 손꼽힌다.
t06,수원 화성,경기,역사,0,조선 후기에 쌓은 성곽으로 성벽을 따라 걸으며 옛 방어 시설과 문루를 둘러볼 수 있다.
t07,지리산 노고단,전남,자연,0,남부 내륙에 우뚝한 큰 산의 능선으로 탁 트인 전망과 야생화 군락을 보려는 등산객이 즐겨 찾는다.
t08,설악산 울산바위,강원,자연,0,기암괴석이 병풍처럼 솟은 바위 봉우리로 단풍철이면 산을 오르는 사람들로 가득하다.
t09,순천만 습지,전남,자연,8000,갈대밭과 갯벌이 드넓게 펼쳐진 연안 습지로 철새가 날아드는 생태 관광지다.
t10,명동 거리,서울,도시,0,화장품과 옷 가게가 빼곡한 서울 도심의 번화한 쇼핑 거리로 외국인 관광객의 발길이 끊이지 않는다.
t11,성수동 카페거리,서울,도시,0,낡은 공장을 개조한 감각적인 카페와 편집숍이 모인 골목으로 젊은 층이 사진을 찍으러 몰린다.
t12,전주 한옥마을,전북,도시,0,기와를 얹은 전통 한옥이 골목마다 이어진 마을로 한복을 입고 거니는 관광객이 많다.
t13,광장시장 먹자골목,서울,미식,0,"빈대떡과 마약김밥, 육회 같은 길거리 음식을 맛보려는 사람들로 늘 북적이는 오래된 시장이다."
t14,전주 남부시장,전북,미식,0,콩나물국밥과 비빔밥 등 향토 음식을 저렴하게 맛볼 수 있는 재래시장으로 야시장도 열린다.
t15,속초 중앙시장,강원,미식,0,닭강정과 갓 잡은 해산물 회를 파는 시장으로 동해안 여행객이 먹거리를 사러 들른다.
t16,월정리 해변,제주,해변,0,카페와 하얀 모래사장이 나란한 제주 동쪽 바닷가로 파도를 보며 쉬어 가기 좋은 해변이다.
t17,종묘,서울,역사,1000,역대 왕과 왕비의 신주를 모신 조선 왕실의 사당으로 엄숙한 제례 공간이 그대로 보존돼 있다.
t18,한라산 백록담,제주,자연,0,제주 한가운데 솟은 가장 높은 산의 분화구 호수로 정상까지 오르는 등반 코스가 인기다.
t19,태종대,부산,자연,0,바다 절벽과 등대가 어우러진 해안 경관지로 유람선을 타고 기암 해안을 둘러볼 수 있다.
t20,가로수길,서울,도시,0,은행나무가 줄지어 선 거리 양옆으로 개성 있는 옷가게와 레스토랑이 늘어선 세련된 쇼핑가다.
t21,안동 하회마을,경북,역사,5000,굽이치는 강에 둘러싸인 전통 마을로 기와집과 초가가 보존돼 옛 양반가의 삶을 엿볼 수 있다.
t22,여수 밤바다 낭만포차,전남,미식,0,밤이면 포장마차가 늘어서 갓 잡은 해산물과 음식을 파는 항구로 야경을 보며 먹기 좋다.
t23,대천 해수욕장,충남,해변,0,완만한 백사장이 길게 이어진 서해의 해변으로 여름 머드 축제와 물놀이로 붐빈다.
t24,남산 서울타워,서울,도시,29000,도심 한복판 산 정상에 세운 전망탑으로 서울 시내와 야경을 한눈에 내려다볼 수 있다.
t25,보성 녹차밭,전남,자연,4000,가지런한 녹차 이랑이 언덕을 뒤덮은 다원으로 초록빛 밭 사이를 걸으며 사진을 찍는 사람이 많다.
