id,category,text
c1,전입신고,이사한 뒤에는 14일 안에 전입신고를 해야 합니다. 주민센터를 방문하거나 정부 온라인 민원 사이트에서 신청합니다. 세대주가 아니면 세대주의 확인이 필요합니다.
c2,주민등록등본,주민등록등본은 주민센터나 무인 발급기에서 받을 수 있습니다. 온라인 민원 사이트에서 집에서 출력할 수도 있습니다. 본인 확인을 위해 신분증이 필요합니다.
c3,인감증명서,인감증명서는 반드시 본인이 신분증을 들고 방문해 발급받습니다. 미리 인감을 신고해 두어야 발급이 됩니다. 대리인이 받으려면 위임장이 필요합니다.
c4,가족관계증명서,가족관계증명서는 주민센터나 온라인 민원 사이트에서 받습니다. 일반 증명서와 상세 증명서 중에서 고를 수 있습니다. 본인 확인을 위해 신분증이 필요합니다.
c5,여권 발급,여권은 구청 여권과를 방문해 신청합니다. 여권용 사진과 신분증을 준비해야 합니다. 처리에는 신청일부터 며칠이 걸립니다.
c6,여권 재발급,여권을 잃어버리거나 기간이 지나면 재발급을 신청합니다. 분실한 경우에는 분실 신고를 먼저 합니다. 재발급도 여권용 사진과 신분증이 필요합니다.
c7,건축 허가,건물을 새로 지으려면 먼저 건축 허가를 받아야 합니다. 설계 도면과 신청서를 갖춰 건축과에 제출합니다. 검토에는 여러 날이 걸립니다.
c8,영업 신고,음식점 같은 가게를 열려면 영업 신고를 합니다. 위생 교육을 먼저 받고 신고서를 제출합니다. 신고가 끝나면 영업 신고증을 받습니다.
c9,지방세 납부,재산세나 자동차세 같은 지방세는 고지서로 안내됩니다. 은행이나 온라인으로 낼 수 있습니다. 기한을 넘기면 가산금이 붙습니다.
c10,쓰레기 배출,생활 쓰레기는 종량제 봉투에 담아 정해진 요일에 내놓습니다. 음식물 쓰레기는 전용 봉투나 수거 용기에 버립니다. 재활용품은 종류별로 나누어 배출합니다.
c11,대형 폐기물 신고,가구나 가전 같은 대형 폐기물은 미리 배출 신고를 합니다. 온라인이나 주민센터에서 신고하고 스티커를 붙입니다. 정해진 장소에 내놓아야 수거해 갑니다.
c12,자동차 등록,새 차를 사면 차량 등록을 해야 합니다. 등록 신청서와 보험 가입 서류가 필요합니다. 등록이 끝나면 번호판을 받습니다.
