review_id,product,rating,content
1,선크림,1,"이 제품 쓰자마자 바른 부위에 두드러기가 올라왔고, 피부과 전문의에게서 선크림 사용으로 인한 접촉성 피부염이라는 진단을 받았습니다. 그래서 피지오겔 코리아로 1:1 문의를 드렸더니, 쿠팡 쪽으로 문의하라고 하시길래 판매자 문의로 환불 관련해서 말씀을 드렸습니다. 그런데 사진처럼 매크로 답변에 다른 데로 접수하라고 떠넘기시더라구요 엘지생활건강 소비자상담실에서도 제품 환불은 판매자 문의 쪽 일이라고 하셨는데 공식몰 일처리 개 어지러움"
2,선크림,1,"평상시 크림 하나에 썬크림 하나만 바르는데 썬크림 이거로 바꾸고 시림을 떠나 눈이 졸라  따갑고 아픔 ㅡㅡ아까워서 참고 바르려고 5,6일 발랐는데 아 도저히 안되겟음 갖다버림 열받음 요즘 썬크림 눈 시리거나 아픈거 없는데 이거 진짜 내인생 최악의 썬크림임 바르고 1시간 이내부터 눈 미친듯이 따갑고 시림 눈아파서 운전하다 사고날뻔해서 지금 너무 열받음 갖다 버렸음"
3,선크림,1,"피지오겔 예찬하는 사람인데요, 이건 눈이 시려도 너무 시려요. 이거 바르고 강원도까지 운전하는데 두 시간 동안 눈이 시려서 너무 힘들었어요. 눈 주변을 발라야 주름으로부터 보호가 될텐데 눈 가까이는 아예 바르지도 못해요. 팔에나 발라야겠어요. 피지오겔 너무 좋아하는데 썬로션은 진짜 완전 비추!"
4,선크림,1,민감성 피부는 사용하지마세요.. 끈적이지않고 발림성은 너무 좋은데 저는 사용했을때 두드러기처럼 피부가 올라오더라구요. 잘 맞는 사람도 있지만 저는 바로 사용중지했구요.사용전 소량만 먼저 약한 부위에 테스트해보는걸 추천합니다.
5,선크림,2,엄청 물같고 촉촉한 제형의 선크림입니다. 그래서 사실 휴가철 아니라 평상시에 로션처럼 온몸에 바르는 용으로 편하게 사용했어요. 평상시에 사용허기에는 향도 뮤향이고 백탁이나 끈적임도 없어서 사실 정말 만족허면서 사용했습니다. 문제의 발단은 휴가철 물놀이인데요. 자외선이 강한 날씨에 1시간에 한번씩 다시 덧발라줬는데도 불구하고 피부가 벗겨질 정도로 탓더라구요 이정도면 실질적으로 선크림의 역할을 못하는 것이 아닌가라는 의문이 들었습니다. 평상시에는 옷을 입고 있다보니 자외선에 노풀이 되어서 피부가 타는지 안타는지 확인을 못했다면 수영복만 입고 노출된 팔 다리는 그냥 새까맣게 타는 게 문제가 아니라 피부가 아프더라구요 워터프루프가 아니거나 혹은 선크림의 기능이 부족하던가 둘 중 하나일 것 같아요
6,선크림,2,7살 남자아이 피지오겔 크림에 바디로션 다 사용중이라 괜찮겠지 하고 발랐는데 일주일에 한번 산에가는 날만  팔이랑 목에 두번 발랐는데 두드러기 올라왔어요 긁어서 딱쟁이지고;;; 간지러워 하더라고요 클렌징으로 다 씻었는데도… 남편이 쓰는데 남편은 좋대요 ㅋㅋ 아이한테는 자극이 있나봐요 아이용으로는 비추입니다
7,선크림,2,향에 알콜향이 나는거 같다고 느끼며 이틀 발랐는데 아이 얼굴이 붉게 올라왔어요 얼굴 바디 전부 피지오겔 제품 사용하고 있어서 구매했는데 아쉬워요 다만 로션이라 애들 금방 발라주기는 좋네요
8,선크림,2,묽은 제형이고 처음 바를땐 별 느낌 없는데 시간이 지날수록 눈이 너무 따가워 뜰수가 없어요 얼굴말고 다른데만 발라야할듯..
9,선크림,3,사용법 : 꼭 사용하기전에 5번 정도 흔들어서 사용해야해요 사용법에도 흔들어서 사용하라고 적혀있네요 발림성 : 로션하고 스킨 중간정도의 농도에요 거의 액체라서 바르는거는 쉽게 발려요 백탁현상도 없는데 좀 번들거리기는 해요 후기 : 남편도 쓰고 저도 써는데 처음에 바를때 부드럽게 발리고 좋은데 나중에 눈이 따끔거려요 눈이 따끔거려서 눈주변에는 바르면 안되네요. 몸에 바르는거나 눈밑까지 바른거 추천드려요 성분 : 성분 보니 주의성분이 제법있네요 선크림이라서 어쩔수없으나 아이들 사용은 자제해야겟어요 마지막 사진 참고해주세요
10,선크림,3,"- 에센스와 로션 중간의 묽은 질감으로 발리성 좋음. 뭉치지 않음 - 색이 자연스러움 바르면 살짝 환해지는 느낌 - 워터프루프가 아니라서 물놀이하는 경우엔 부적합. 다 씻겨내려감 - 유통기한 넉넉함 바디선용으로 쓸 가벼운 선크림 찾다가 구매했는데, 발림성은 아주 좋았음 그런데 워터프루프가 아니라서, 바르고 물에 들어갔다가 다 씼겨내려가서 효과 없음 이건 확인 안하고 산거라 할 수 없는 부분인데, 그래도 아쉬운 부분 가볍게 발려 좋아서 데일리로 바디에 쓰기엔 좋음"
11,선크림,3,제곧내입니다. 발림성은 정말 좋아요. 하지만 바르고 나면 좀 끈적이고 그 느낌이 꽤 오래 지속됩니다.
12,선크림,3,로션을 늘 쓰는 브랜드라 첨 구입했는데 선크림과는 조금 다르게 많이 묽어요~ 눈에 들어가면 따가우니 조심해야 겠어요
13,선크림,4,늘 믿고쓰는 피지오겔 입니다 일단 따끔 거림없고  끈적임 없어요 미백효과는 글쎄 거의 없는데요 저는 이상하게 미백효과가 없으면 ㅋ 썬크림이 제대로 발린건가? 싶어 더 바르게 되긴 하는데요 뭐 자외선차단 잘 되겠죠 흔들어서 사용해야하고여 향은 향없는 썬크림냄새입니다 로션보다 묽고 스킨보다 되직한 에센스 같은? 그런 느낌 입니다~~ 입구가 뾰족하게 되어잇어 위생적으로 보여요 아이 잘 발라주고 전 미백있는거 ㅋ사야할듯해요 ㅎㅎ
14,선크림,4,쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다. 애둘맘입니다! 아가씨땐 기미도 주근깨도 별로 없더니 임신하고 출산하면서 많이 생겨서 레이저시술을 받았는데 관리가 중요하다하더라구요! 그래서 선크림을 알아보던중 기회가 생겨서 접하게된 피지오겔 데일리모이스처테라피 유브이 썬로션! 일단 제가 평상시 쓰던 썬크림하곤 달랐어요~ 아무래도 페이스 및 바디 썬크림이라 그런지 묽은느낌! 이름과같이 썬로션이 이런거구나 라는 느낌이랄까요? 그래서 그런지 화장대신 바르는 썬크림은 절대아니란!! 그래도 일단 피지오겔은 믿고쓰는 브랜드라 그런지 향도 괜찮고 성분도 좋아서 잘바를꺼같아요! 얼굴보단 바디에 편하게 바를꺼같은 생각이 듭니다! 아무래도 묽다보니 꼭 흔들어서 사용하셔야하는점! 저처럼 메이크업 겸용으로 생각하신다면 아쉽다는점 참고하시면 될꺼같아요~ㅎㅎ
