id,문서,발간,쪽,소제목,본문
ai6,생성형AI 안내서,2025,6,1 발간 배경 및 목적,"### 개요 

#### <mark>1</mark> **발간 배경 및 목적** 

- ⬛ 최근 생성형 인공지능(AI) 기술이 급속히 발전하면서 일상과 사회 전반으로 빠르게 확산되고 있습니다. 특히, 민간과 공공에서는 도메인 특성, IT 환경, 보유자원 등에 따라 AI 모델을 직접 ･ 

- 개발하거나 기성 모델을 재학습 가공하는 등 다양한 활용 사례가 늘어나고 있습니다. 

- ⬛ 생성형 AI의 활용 양상과 범위가 확장되면서, 그 과정에서 필수적으로 수반되는 대규모 데이터 ･ 

- 처리로 인해 개인정보 처리 및 보호 관점에서 다양한 법적 기술적 이슈가 제기되고 있습니다. ･ 

- 특히, 인터넷 공간, IoT 기기 센서 등 다양한 출처에서 수집된 개인정보를 AI 학습에 적법하게 이용할 수 있는 기준은 무엇인지, 고도로 복잡한 AI 환경에서 개인정보 안전관리 체계를 어떻게 마련할지, 이를 뒷받침하는 내부 거버넌스 구축 전략을 어떻게 수립할지 등이 주요 논의 과제로 대두되고 있습니다. 

- ⬛ 이에, 개인정보 보호위원회(이하, ‘위원회’)는 AI 심화 시대에 대응하여 개인정보 처리와 관련한 ･ 

- 현장의 법적 불확실성을 해소하고, AI 신기술 신서비스 개발에 개인정보가 안전하게 활용될 수 있도록 지원하고 있습니다. 특히, 위원회는 분야별 AI 데이터 처리 안내서 마련<sup>1)</sup> , 사전 실태점검 ･ 

- 및 조사 처분 사례 축적, 규제샌드박스 및 사전적정성 검토제<sup>2)</sup> 등 혁신지원제도 운영을 통해 생성형 AI에 특화된 개인정보 보호 기준, 안전조치, 내부 관리체계 구축 방안 등을 구체화하고 있습니다. 

- ⬛ 본 안내서는 이러한 정책적 경험을 종합하여, 생성형 AI 수명주기(lifecycle) 각 단계에서 고려 해야 할 개인정보 처리 및 보호 이슈를 체계화하고, 그에 따른 법적 기준 및 안전조치 등을 제시 ･ 

- 하였습니다. 이를 통해 생성형 AI 개발 활용에 개인정보 보호 관점이 균형있게 반영되고, 현장의 예측 가능성과 자율적 준수 역량을 높여 신뢰와 책임에 기반한 AI 활용 환경 조성에 기여하고자 

> ･ 1) 「비정형 데이터 가명처리 기준」(’24.2.), 「AI 개발 서비스를 위한 공개된 개인정보 처리 안내서」(’24.7.), 「이동형 영상정보처리 기기를 위한 개인영상정보 보호 ･ 활용 안내서」(’24.10.), 「합성데이터 생성·활용 안내서」(’24.12.), 「AI 프라이버시 리스크 관리 모델」(’24.12.) 2) AI 등 신기술 분야의 개인정보 보호법 준수 방안을 민 ･ 관이 함께 마련하고 사업자가 적정 이행하면 행정처분 대상에서 제외"
ai7,생성형AI 안내서,2025,7,참고 ┃ 본 안내서에 포함된 주요 법령 및 정책 사례,"합니다. 아울러, 본 안내서는 글로벌 논의와의 연계성 및 정합성을 고려하여 작성되었으며, ･ ･ 미국 영국 유럽연합 등 주요국의 관련 정책자료를 참고할 수 있도록 함께 안내하였습니다. 

###### **참고** ┃ 본 안내서에 포함된 주요 법령 및 정책 사례 

######  개인정보 보호법 

###### 개인정보 보호법 중 관련 조항 

- 목적(§1): 개인의 자유와 권리 보호 / 개인의 존엄과 가치 구현 

- 원칙(§3): 목적 명확성 / 최소수집 / 투명성 / 안전한 관리 / 정보주체 권리보장 등 

###### ▸ 개인정보의 처리 

- ･ 

- 수집 이용(§15➀): 동의 / 법률 / 공공기관의 소관업무 / 계약 / 정당한 이익 등 

- 추가적 이용(§15➂): 당초 수집목적과 관련성 / 예측 가능성 / 정보주체 이익침해 / 안전조치 

- 처리 위탁(§26): 문서로 위탁 / 개인정보 처리방침 공개 / 수탁자 감독 등 

- ･ 

- 가명특례(§28의2): 통계 작성 과학적 연구 목적 등 위한 동의 없는 가명정보처리 

- ･ ･ 

- 국외이전(§28의8): 별도 동의 고지 / 법률 조약 / 계약 / 적정성 결정 등 

- 특별한 보호가 필요한 개인정보(§23~§24의2): 민감정보, 고유식별정보, 주민등록번호 

###### ▸ 안전한 관리 

- 파기(§21): 목적 달성, 기간 경과 등 불필요시 파기 

- ･ ･ 

- 안전조치(§29): 내부 관리계획 수립, 접속기록 보관 등 기술적 관리적 물리적 조치 시행 

- 개인정보 영향평가(§33): 위험요인 분석 및 개선사항 도출 위한 평가 시행 

- ･ ･ 

- 노출된 개인정보의 삭제 차단(§34의2): 고유식별정보, 계좌정보, 신용카드정보 등 삭제 차단 

###### ▸ 정보주체 권리 

- ･ 

- 개인정보의 열람(§35) / 정정 삭제(§36) / 처리정지 등(§37) 

- 자동화된 결정에 대한 정보주체의 권리(§37의2): AI 등 완전히 자동화된 시스템으로 개인정보를 ･ 

- 처리하여 권리 의무에 중대한 영향을 미치는 결정에 대한 거부권, 설명요구권 등"
ai8,생성형AI 안내서,2025,8, 국내 AI 개인정보 처리 및 보호 관련 안내서,"######  국내 AI 개인정보 처리 및 보호 관련 안내서 

|안내서|주요 내용|
|---|---|
|비정형 데이터<br>가명처리 기준<br>(’24.2.)|▸이미지･영상･음성 등 비정형데이터 가명처리 기준 제시<br>- 의료(CT, MRI), 교통, 챗봇 등 분야별 7종 시나리오 통해 가명정보 활용<br>전 과정 상세 안내|
|AI 개발･서비스<br>위한 공개된 개인정보<br>처리 안내서<br>(’24.7.)|▸인터넷 등에 공개된 정보를 AI 학습에 활용할 수 있는 법적 기준 제시<br>- 개인정보 보호법상 ‘정당한 이익’ 조항(§15➀6호)의 적용 요건 및 기술적･<br>관리적 안전조치 기준 등 제시|
|개인영상정보<br>보호･활용 안내서<br>(’24.10.)|▸자율주행차, 로봇, 드론 등 이동형 영상정보 처리기기 촬영 영상을 AI 개발<br>등에 활용할 수 있는 기준 제시<br>- 개인영상정보의 촬영･이용･제공･보관･파기 등 처리단계별 준수사항 제시|
|합성데이터<br>생성･활용 안내서<br>(’24.12.)|▸합성데이터 생성･활용 단계별 적법 절차, 원본데이터의 전처리 방식, 안전성･<br>유용성 검증방법 및 지표 등 세부절차 안내<br>※ 합성데이터 생성･검증 등 실증사례는 「합성데이터 생성 참조모델」(’24.5.)에서 확인 /<br>합성데이터셋은 ‘가명정보 지원플랫폼’(dataprivacy.go.kr)에서 다운로드 가능|
|AI 프라이버시 리스크<br>관리 모델<br>(’24.12.)|▸AI 유형･용례･맥락에 따른 AI 프라이버시 리스크 경감 방안 안내<br>- AI 수명주기별 프라이버시 리스크를 기업 스스로 평가･경감하도록 지원|

######  해외 AI 데이터 처리 관련 참고자료 

||참고자료|주요 내용|
|---|---|---|
|미국|NIST Privacy<br>Framework<br>ver 1.1<br>(’25.4.)|▸미 국가기술표준연구소(NIST) 발간 개인정보 보호 및 리스크 관리 체계로,<br>조직의 자율적인 프라이버시 리스크 식별･평가･관리 지원<br>※ AI 프라이버시 리스크 관리 섹션을 신설한 개정안(ver. 1.1) 공개(’25.4.) 후 의견<br>수렴 통해 최종안 공개 예정(~’25.12.)|
|영국|UK AI<br>Playbook<br>(’25.2.)|▸공공기관이 AI를 안전하고 책임감 있게 도입･활용할 수 있도록 돕기 위한<br>실무 지침으로, 조달･설계･데이터 관리･프라이버시 보호 등 AI 도입･운용의<br>전 과정에 대한 단계별 가이드라인 제공|
|EU|AI Privacy<br>Risks &<br>Mitigations<br>(’25.4.)|▸유럽 개인정보보호이사회(EDPB)에서 LLM의 프라이버시 리스크를 식별･<br>평가･완화하기 위한 종합적인 리스크 관리 방법론 제시<br>- 개인정보 유･노출, 불투명성, 권리행사 제약 등 프라이버시 리스크에 대응<br>하기 위한 기술적･관리적 조치, 거버넌스 체계 마련 등 종합적･지속적<br>리스크 관리 강조|"
ai9,생성형AI 안내서,2025,9, AI 개인정보 처리 관련 조사 ･ 처분 등 집행사례,"######  AI 개인정보 처리 관련 조사 ･ 처분 등 집행사례 

||구  분|주요 내용|
|---|---|---|
|조<br>사|AI 챗봇서비스<br>조사 결과<br>(’21.4.)|▸기업이 특정 목적으로 수집한 개인정보를 이용자의 명시적 동의 없이<br>관련성 없는 신규 서비스 개발에 이용한 사안에서,<br>- AI 챗봇 서비스의 개인정보 목적 외 이용 등에 대해 시정명령 및 과징금･<br>과태료 부과|
|･<br>처<br>분|출입국관리 AI<br>식별추적시스템<br>조사 결과<br>(’22.4.)|▸출입국 심사 과정에서 수집한 안면정보를 AI 기술 개발에 활용하는 것의<br>적법성 판단 관련,<br>- 안면정보를 출입국 관리시스템 고도화를 위해 활용하는 것은 출입국<br>관리법의 목적인 안전한 국경관리를 달성하기 위한 것으로 개인정보<br>수집 목적 범위 내에 포함된다고 판단|
||국내외 주요 AI<br>서비스 대상 사전<br>실태점검<br>(’24.3.)|▸주요 LLM 서비스(6개 사업자) 대상 공개된 개인정보 처리, 이용자 입력<br>데이터 처리, 투명성 및 정보주체 권리보장 관련 개선권고|
||AI 응용서비스|▸AI 응용서비스(AI 통화요약, 이미지 생성 등 4개 서비스)의 개인정보 처리|
|사<br>전|사전 실태점검<br>(’24.6.)|과정에 대한 실태점검 후, 일부 사업자 대상 시스템 접속기록 보관･점검<br>등 안전조치 준수 시정권고 및 투명성 강화 관련 개선권고|
|실<br>태<br>점<br>검|딥시크 서비스<br>사전 실태점검<br>(’25.4.)|▸개인정보 국외이전 근거 충실 구비 및 이미 이전한 개인정보 즉각 파기,<br>한국어 개인정보 처리방침 투명성 제고 등 시정권고<br>▸AI 관련 강화된 보호조치 준수, 처리시스템 전반 점검 및 안전조치 수준<br>향상, 국내대리인 지정 등 개선권고|
||AI 디지털 교과서<br>사전 실태점검<br>(’25.5.)|▸학습 이력을 데이터베이스화하여 저장하고 개인 맞춤형 콘텐츠를 제공<br>하는 AI 디지털 교과서의 개인정보 보호 실태점검 결과,<br>▸개인정보 처리의 적법성･투명성 확보, 정보주체 권리행사 명확화 등 시정<br>권고, 안전조치 관련 개선권고 등|

######  AI 개인정보 처리 ･ 보호 관련 분야 혁신지원제도 사례 

||구 분|주요 내용|
|---|---|---|
|규<br>제<br>샌|자율주행 AI 학습<br>(’24.2.)|▸자율주행･로봇기업 등이 강화된 안전조치 준수 下 동의 없이 영상 원본<br>활용 허용<br>※ 뉴빌리티･우아한형제들･현대차 등 5개 기업 승인|
|드<br>박<br>스|첨단바이오<br>국제공동연구<br>(’24.6.)|▸서울대병원･하버드･MIT 등과 첨단바이오 분야 국제공동연구에 필요한<br>가명 데이터셋을 환자 동의 없이 활용 허용|"
ai10,생성형AI 안내서,2025,10,10쪽,"||구 분|주요 내용|
|---|---|---|
||보이스피싱 예방<br>AI 학습<br>(’24.10.)|▸금감원･국과수 보유 ‘그놈 목소리’ 통화 데이터 2만 5천건을 강화된 안전<br>조치 下 보이스피싱 예방 AI 학습에 활용 허용|
||의료기관 내<br>생성형 AI 기반<br>보고서 작성 지원<br>(’24.10.)|▸의료기관 내 진료 대화 기반 의료기록 작성업무를 생성형 AI를 활용하여<br>자동화하는 솔루션 개발<br>▸개인정보의 적법한 처리위탁 요건 충족 위해<sup>➀</sup>진료대화 데이터 처리에<br>관한 사항을 고지하고<sup>➁</sup>기업용(Enterprise API) 라이선스를 사용해<br>의료 기관의 목적으로만 데이터를 처리하도록 조치<br>※ 개인정보보호위원회 제2024-017-237호(비공개)|
|사<br>전<br>적<br>정<br>성|대화형 AI<br>서비스 개발<br>(’25.3.)|▸대화 맥락과 이용자 감정을 파악해 최적화된 답변을 제시하기 위해 자체<br>가드레일 모델<sup>*</sup>(LLM)과 외부 생성형 AI 병행 활용<br>* 유해한 표현, 개인정보 등 탐지<br>➀개인정보 처리 위탁 요건 준수➁이용자 발화문에 대한 안전조치 강화<br>➂사후 관리체계 구축 등의 조건 부과<br>※ 개인정보보호위원회 제2025-004-016호(비공개)|
|검<br>토<br>제|이용자 대화<br>데이터의<br>AI 모델 학습<br>(’25.5.)|▸대규모 언어모델 기반 대화형 AI 서비스를 제공하는 과정에서의 이용자<br>프롬프트 입력의 AI 학습 활용 방안 검토<br>▸개인정보 보호법상 추가적 이용 조항(제15조제3항) 요건 검토<br>※ 개인정보보호위원회 제2025–011–031호(비공개)|
||보이스피싱<br>의심번호 DB<br>구축･활용<br>(’25.7.)|▸전화 수발신 내역 데이터를 활용하여 보이스피싱 의심번호를 예측하고<br>이를 금융사의 이상거래 탐지･차단에 이용<br>▸보이스피싱 범죄자의 통화패턴 등을 학습<sup>*</sup>한 예측 모델 생성<br>* 경찰청 등에서 공유받은 보이스피싱 신고 번호의 통화패턴(전화번호, 발신일시,<br>종료일시 등 통화내역 데이터)을 분석･학습<br>▸개인정보 보호법상 추가적 이용 조항(제15조제3항) 요건 등 검토<br>※ 개인정보보호위원회 제2025–015–231~232호(비공개)|"
ai11,생성형AI 안내서,2025,11,2 적용 범위 및 성격,"#### <mark>2</mark> **적용 범위 및 성격** 

   - ⬛ 본 안내서는 생성형 AI를 개발 ･ 활용하면서 개인정보를 처리하는 기업 ･ 기관 등이 참고할 수 있도록 마련되었습니다<sup>3)</sup> . 예를 들어, ▲LLM을 개발하고 제공하는 모델 개발자 및 ▲모델을 이용해 AI ･ 

   - 서비스를 개발 제공하는 모델 이용자 등이 본 안내서를 참고하여 생성형 AI 수명주기 단계별 개인정보 보호 사항을 검토할 수 있습니다<sup>4)</sup> . 아울러, 생성형 AI의 데이터 처리와 관련된 개인정보 보호 컴플라이언스, 보안, 리스크 관리, 데이터 거버넌스 등 업무담당자를 주요 독자층으로 상정 하였습니다. 

   - ⬛ 본 안내서는 생성형 AI 개발 ･ 활용과 관련한 개인정보 보호 준수 가능성을 높이기 위한 것으로서, 다른 법령상 의무(인공지능 발전과 신뢰 기반 조성 등에 관한 기본법, 정보통신망 이용촉진 및 정보보호 등에 관한 법률, 저작권법 등)에 대해서는 다루지 않습니다. 

   - ⬛ 또한 본 안내서는 생성형 AI의 개발 ･ 활용에 개인정보 처리가 수반되는 경우 그 처리 행위의 적법성, ･ ･ 

   - 안전성 확보 등을 위해 고려해야 할 최소한의 사항을 안내한 것으로, 향후 AI 관련 법 제도 기술이 ･ 

   - 발전함에 따라 주기적으로 수정 보완될 수 있습니다. 현재 주로 언어모델 기반 생성형 AI ･ ･ ･ 

   - 중심으로 작성되었으나, 향후 음성 이미지 영상 등 영역까지 점진적으로 확대 보완해 나갈 예정입니다. 

- 3) AI 생태계 내 다양한 참여자에 대한 분류체계, 정의 등은 다양한 방식으로 논의되고 있으며, 프라이버시 영역에서는 AI 개발 ･ 활용 과정에서 개인정보 처리 행위가 이루어지는지 여부가 주된 쟁점임 

- ※ (인공지능 발전과 신뢰 기반 조성 등에 관한 기본법) 인공지능산업과 관련한 사업을 하는 자(‘인공지능사업자’)로 ‘인공지능개발 사업자’(인공지능을 개발하여 제공하는 자)와 ‘인공지능이용사업자’(인공지능개발사업자가 제공한 인공지능을 이용하여 인공지능 제품 또는 인공지능서비스를 제공하는 자)로 분류 (EU AI ACT) 공급자(provider), 배포자(deployer) 등으로 분류 

   - (NIST AI RMF) AI 설계(design) 행위자, 개발(development) 행위자, 배포(deployment) 행위자 등으로 분류 (ISO/IEC 42001) AI 제공자(provider), AI 생산자(producer) 등으로 분류 

- 4) 생성형 AI 생태계 참여자는 크게 모델을 개발(자체개발 및 추가학습 ･ 정렬 등)하거나 이용하는 자로 분류할 수 있으며 개별 AI 개발 ･ 활용 맥락에 따라 동일한 사업자가 모델개발자이면서 모델이용자 둘 모두에 해당할 수 있음 

- ※ 생성형 개발 ･ 활용 유형 분류에 따른 개인정보 검토 사항 내용은 본 안내서 붙임 자료 참고"
ai14,생성형AI 안내서,2025,14,생성형 AI 개발 활용 단계5),"# <mark>Ⅱ</mark> 

### ･ 생성형 AI 개발 활용 단계<sup>5)</sup> 

###### 목적 설정 

- 생성형 AI 기술을 통해 달성하고자 하는 구체적 목적 설정 

- ･ ･ 

- 생성형 AI의 사용 맥락 대상 기술적 한계 고려 

###### 개인정보 고려사항 

   - 개인정보 보호 원칙 下 개인정보 처리 목적 구체화 

   - 개인정보 처리의 적법근거 확보 

- ※ 공개된 개인정보, 이용자 개인정보 등 수집 출처별 적법성 별도 검토 

###### 전략 수립 

- 조직의 ICT 역량 ･ 여건에 대한 객관적 진단 통해 AI 개발 ･ 활용의 구체적 방식 결정 및 리스크 관리 방안 등 핵심 전략 수립 

###### 개인정보 고려사항 

   - 개인정보 안심설계(PbD, Privacy by Design) 접근 보장을 위한 개인정보 영향평가 실시 

   - LLM 개발 ･ 활용 방식별 유의사항 고려 

- ※ 서비스형 LLM, 기성 LLM 활용, 자체개발 

###### AI 학습 및 개발 

- 당초 설정한 목적을 효과적으로 달성하고 의도치 않은 리스크를 완화하기 위해 데이터 (추가)학습, 모델 미세 ･ 

- 조정 정렬 등 수행 

###### 개인정보 고려사항 

- 데이터 오염(poisoning) 방지하기 위한 출처 검증, ･ 

- 전처리, 가명 익명처리 등 

- AI 모델에 대한 미세조정, 정렬 등  안전장치 추가 

- AI 시스템 접근 권한 통제, 입출력 필터링 적용 

###### AI 프라이버시 거버넌스 구축 

- ･ 

- 전사적 차원에서 개인정보 보호를 위한 내부 관리체계를 마련하여 생성형 AI 목적 설정부터 적용 관리까지 이어지는 전체 ･ 

- 프로세스 관리 감독 

구성 : 개인정보 보호책임자(CPO, Chief Privacy Officer) 중심의 내부 관리체계 구성 

- ･ ･ 

- 개발 보안 등 유관 부서와 긴밀한 협력 체계를 유지하며 AI 개발 활용 초기부터 참여 

- ※ 개별 여건에 따라 규모 ･ 구성 등을 자율적으로 결정 

･ ･ 역할 : AI 프라이버시 리스크 관리 정책 마련 문서화 / 개인정보 취약성 상시 모니터링 평가 및 보고 / 정보주체 권리행사 지원 

> 5) ｢ 공공부문 초거대 AI 도입 ･ 활용 가이드라인 ｣ (’25.4., 디지털플랫폼정부위원회) 및 ｢ A platform-centric approach to scaling ｢ generative AI in the enterprise ｣ (’24.9., Google Cloud), Llama Developer Use Guide: AI Protections ｣ (’25.4., Meta), ISO/IEC 5338(AI system life cycle processes) 등 국내외 AI 생애주기 자료를 참고하여 개인정보 ･ 데이터 처리 관점에서의 고려사항이 반영될 수 있는 체계를 구성"
ai16,생성형AI 안내서,2025,16,생성형 AI 개발 활용 단계별 고려사항6),"### ･ 생성형 AI 개발 활용 단계별 고려사항<sup>6)</sup> 

#### <mark>1</mark> **목적 설정** 

##### ･  생성형 AI 개발 활용의 첫 관문인 목적 설정, 왜 중요한가요? 

- ⚫ 생성형 AI 개발 ･ 활용의 출발점은 생성형 AI 기술을 통해 달성하려는 목적을 설정하는 것입니다. 이는 크게 두 가지 측면에서 중요합니다. 첫째, 목적 달성에 어떤 개인정보가 얼마나 필요한지 파악하고 개인정보의 처리 목적을 획정할 수 있게 합니다. 둘째, 목적 설정 후속 단계에서 어떤 리스크가 발생할 수 있는지 가늠하고 초기부터 리스크 관리 및 완화 방안을 모색할 수 있도록 합니다. 

#####  목적 설정은 어떻게 하나요? 

- ⚫ 생성형 AI의 사용 맥락 ･ 대상 ･ 기술적 한계 등을 고려하여 목적을 구체화해야 합니다. AI가 어떤 맥락에서 ･ 

- 누구를 대상으로 사용되는지 의도된 용례(intended use)를 명확히 정의하고, AI의 기능 성능이 용례에 부합하는지 검토하는 한편, 예견 가능한 오용(foreseeable misuse) 등 한계점을 사전에 파악하는 과정이 포함되어야 합니다<sup>7)</sup> . 

#####  프라이버시 관점에서 주의할 점은? 

- ⚫ 생성형 AI의 사전 ･ 추가학습에 필요한 데이터에는 개인정보가 포함될 수 있습니다. 이때, 개인정보 처리 목적은 구체적이고 명확하며 합법적으로 설정되어야 합니다<sup>8)</sup> . 

- ⚫ 범용성을 전제로 하는 생성형 AI의 경우 개인정보 처리 목적을 사전에 구체화하는 데 일정한 한계가 있을 ･ 

- 수 있으나, 기업 기관은 개인정보 보호 원칙을 고려하여 처리 목적을 최대한 구체화하는 것이 권장됩니다. 

> 6) 본 장에서는 생성형 AI 개발 ･ 활용 절차 ･ 단계별로 가장 관련성 높은 개인정보 보호 고려사항을 안내하고 있으며, 개별사항이 반드시 특정 절차 ･ 단계에 고유한 것은 아님 

- ※ <예> 거버넌스 구축은 <1. 목적 설정>부터 <4. 시스템 적용 및 관리>까지 전 단계에 걸쳐 이루어지는 것이 바람직함 

> ｢ 7) GDS, AI Playbook for the UK Government ｣ , “Principle 1: You know what AI is and what its limitations are” 및 “Principle 2: You use AI lawfully, ethically and responsibly” 참고 

> ｢ 8) ICO, Purpose limitation in the generative AI lifecycle ｣ (2024) 참고"
ai17,생성형AI 안내서,2025,17,사례 개인정보 처리 목적 미정립 사례,"- 법률제3조(개인정보 보호 원칙) ① 개인정보처리자는 개인정보의 처리 목적을 명확하게 하여야 하고 그 목적에 필요한 범위에서 최소한의 개인정보만을 적법하고 정당하게 수집하여야 한다. 

- ② 개인정보처리자는 개인정보의 처리 목적에 필요한 범위에서 적합하게 개인정보를 처리하여야 하며, 그 목적 외의 용도로 활용하여서는 아니 된다. 

- ③ 개인정보처리자는 개인정보의 처리 목적에 필요한 범위에서 개인정보의 정확성, 완전성 및 최신성이 보장되도록 하여야 한다. (이후 생략) 

###### 사례 개인정보 처리 목적 미정립 사례 

   - ※ AI 디지털교과서 사전 실태점검 결과(’25.5.) 

- AI 디지털교과서 통합포털은 학생별 학습콘텐츠 이용내역 데이터<sup>*</sup> 를 통계 목적 또는 향후 AI 기반 학습 분석 목적 등을 위해 저장함 

- 학습시간, 성취수준, 진도율, 접속시간, 커뮤니티 참여도 등 

- 학생 개개인의 상세한 학습 정보가 통합 DB에 누적될 경우 학생의 일상행동 감시 등 오남용 우려가 제기될 수 있고, 동 정보를 AI 학습데이터로 활용하는 처리 목적이 분명하게 정립되지 않은 상황이었음 

- ☞ 개인정보 항목, 목적, 보유기간 등을 처리방침 등을 통해 정보주체에게 누락 없이 고지토록 하고, 특히, 통합 DB에 관리되는 데이터에 대해서는 처리 항목 및 목적을 보다 명확히 할 것을 시정 권고함(法 제3조제1항 위반) 

- ⚫ 생성형 AI 개발 ･ 활용을 위한 개인정보 처리 목적을 구체화했다면, 그 목적에 적합한 개인정보 처리의 적법근거 (lawful basis)가 무엇인지 확인해야 합니다. 생성형 AI 학습에 투입되는 개인정보의 출처는 크게 ▲공개된 개인정보를 수집하는 방안 ▲기 보유하고 있는 이용자 개인정보를 재사용하는 방안으로 구분할 수 있고, 각 ･ 

- 기업 기관은 개인정보 수집 출처별로 개인정보 처리의 적법근거를 확인해야 합니다. 

###### **<AI 개인정보 수집 출처별 적법근거 검토 방향>**"
ai18,생성형AI 안내서,2025,18,공개된 개인정보의 수집 이용,"###### ･ 공개된 개인정보의 수집 이용 

- ⚫ LLM 등 기초모델을 개발하는 경우에는 대량의 데이터를 스크래핑 방식으로 직접 수집하거나 거대 말뭉치<sup>9)</sup> 등을 사용하는 것이 현실적 관행으로 자리잡고 있습니다. 이러한 기초모델이 실제 현실에 관한 광범위한 지식과 적응력을 확보하기 위해서 공개된 개인정보 처리의 필요성이 인정될 수 있으나, 무분별한 스크래핑을 ･ 

- 통한 권리침해 우려도 있으므로 적법성 안전성 확보에 특히 주의를 기울여야 합니다. 

- ⚫ 특정 서비스 매개 없이 인터넷 공간에서 개인정보를 수집하는 경우, 기업 ･ 기관과 정보주체 사이에 직접적인 ･ 

- 관계가 형성되지 않아 동의 계약과 같은 적법근거를 적용하는 것이 어려울 수 있습니다. 이 경우 실질적으로 고려할 수 있는 적법근거로는 정당한 이익 조항(法 제15조제1항제6호)이 있으며, 이를 충족하기 위해서는 ▲목적의 정당성 ▲공개된 개인정보 처리의 필요성 ▲이익형량의 3가지 기준을 검토해야 합니다. 특히, ･ 

- 이익형량 단계에서 정보주체 권리 침해 가능성을 최소화하기 위한 기술적 관리적 안전조치 및 정보주체 권리보장 방안을 마련하는 것이 핵심입니다. 

###### ｢ **참고** ┃ 공개된 개인정보 처리 안내서 ｣<sup>(’24.7.)</sup> 주요내용 

- (목적의 정당성) 개인정보처리자의 정당한 이익의 존재 

- ･ 

- AI 기업 기관의 영업상 이익뿐 아니라 그로부터 발생하는 사회적 이익 등 다양한 층위의 이익을 포괄 

- 다양한 과제(downstream task) 수행이 가능한 생성형 AI의 개인정보 처리 목적을 특정하기 어려운 ･ ･ 

- 한계 → AI의 유형 기능 성능을 고려하여 정당한 이익 명확화 

- ･ 

- (처리의 필요성) 공개된 개인정보 처리의 필요성과 상당성 합리성이 인정될 것 

- ･ 

- ※ (예) 의료진단보조 AI 개발시 개인의 소득 재산 등 관련없는 정보는 학습 배제 

- (이익형량) 개인정보처리자의 정당한 이익이 정보주체 권리에 명백히 우선 

- 명백성 요건 충족을 위해 ▲정보주체 권익침해 방지를 위한 안전성 확보조치 ▲정보주체 권리보장 방안 마련으로 개인정보처리자 이익이 우선하도록 조치 

- 기술적 안전조치 󰊲 관리적 안전조치 󰊳 정보주체 권리보장 

- - - - ･ ･ 학습데이터 수집 출처 검증 학습데이터 처리기준 정립 및 시간 비용 기술적 측면에서 

- - ･ 개인정보 유 노출 방지 개인정보 처리방침에 공개 합리적으로 실현가능한 범위 내 

- - - ･ 미세조정을 통한 안전장치 추가 AI 프라이버시 레드팀 운영 권리보장 방안 마련 안내 

- - 프롬프트 및 출력 필터링 적용 - 오픈소스 ･ API연계 등 개발 ･ 배포 - 다만, AI 학습 데이터 특성상 방식 특성에 따른 안전조치 전통적인 정보주체 권리행사가 일부 제한될 수 있음을 명시 

> 9) 일반적으로 수십억 개 이상의 단어로 구성된 대규모 자연어 텍스트 데이터셋을 의미하며, 웹 문서, 뉴스, 논문 등 다양한 출처에서 수집됨. 대표적인 영어 기반 말뭉치로는 Common Crawl, Wikipedia, OpenWeb Text 등이 있고, 한국어 특화 말뭉치로는 AI Hub 말뭉치, 모두의 말뭉치 등이 있음"
