id,category,question,answer
f01,배송,주문한 상품은 보통 며칠 만에 받아 볼 수 있나요?,"결제 완료 후 영업일 기준 2~3일 안에 받아 보실 수 있으며, 도서 산간 지역은 하루 이틀 더 걸립니다."
f02,배송,배송이 지금 어디까지 왔는지 어떻게 확인하나요?,마이페이지 주문 내역에서 운송장 번호를 누르면 택배사 배송 추적 화면으로 이동해 실시간 위치를 볼 수 있습니다.
f03,배송,제주도나 섬 지역도 무료 배송이 되나요?,도서 산간 지역은 기본 배송비 외에 추가 배송비 3천 원이 붙으며 주문서에서 미리 안내됩니다.
f04,반품,받은 물건이 마음에 안 들면 어떻게 반품하나요?,상품을 받은 날부터 7일 이내에 마이페이지에서 반품을 신청하시면 회수 기사가 방문해 수거해 갑니다.
f05,반품,단순 변심으로 반품할 때도 배송비를 내야 하나요?,"고객 변심에 따른 반품은 왕복 배송비 5천 원이 부과되며, 상품 불량인 경우에는 배송비를 받지 않습니다."
f06,환불,반품한 상품의 환불은 언제 처리되나요?,반품 상품이 창고에 도착해 검수가 끝나면 3~5영업일 안에 결제하신 수단으로 환불금이 돌아갑니다.
f07,환불,카드로 결제했는데 환불도 카드로 되나요?,"카드 결제 건은 원칙적으로 카드 승인 취소로 환불되며, 카드사 사정에 따라 반영에 며칠이 걸릴 수 있습니다."
f08,교환,사이즈가 안 맞아서 다른 크기로 바꾸고 싶어요.,동일 상품의 다른 사이즈 교환은 마이페이지 교환 신청으로 접수하며 재고가 있으면 회수와 재발송이 함께 진행됩니다.
f09,교환,색상이 화면과 달라 보이는데 교환이 되나요?,"화면과 실제 색의 미세한 차이는 교환 사유가 되지만, 사용 흔적이 없어야 하며 왕복 배송비가 발생할 수 있습니다."
f10,회원,비밀번호를 잊어버렸을 때 어떻게 다시 설정하나요?,로그인 화면의 비밀번호 찾기를 눌러 가입한 이메일로 인증 링크를 받으면 새 비밀번호로 바꿀 수 있습니다.
f11,회원,회원 탈퇴는 어디에서 하나요?,"마이페이지 하단의 회원 탈퇴 메뉴에서 신청할 수 있으며, 탈퇴 시 적립금과 쿠폰은 모두 소멸됩니다."
f12,회원,가입할 때 받은 적립금은 어떻게 쓰나요?,적립금은 결제 단계에서 사용할 금액을 입력해 현금처럼 차감할 수 있으며 최소 사용 금액은 1천 원입니다.
f13,결제,어떤 결제 수단을 쓸 수 있나요?,"신용카드와 계좌 이체, 간편결제, 무통장 입금을 지원하며 일부 상품은 할부 결제도 가능합니다."
f14,결제,결제가 자꾸 실패하는데 무엇을 확인해야 하나요?,"카드 한도와 유효기간을 먼저 확인하시고, 브라우저 결제 창 차단이 켜져 있으면 해제한 뒤 다시 시도해 주세요."
f15,쿠폰,받은 할인 쿠폰은 어떻게 적용하나요?,장바구니나 결제 화면의 쿠폰 적용 칸에서 보유 쿠폰을 선택하면 조건에 맞을 때 할인 금액이 자동으로 빠집니다.
f16,쿠폰,쿠폰 두 장을 같이 쓸 수 있나요?,"쿠폰은 원칙적으로 주문 한 건에 한 장만 쓸 수 있으나, 배송비 쿠폰은 상품 할인 쿠폰과 함께 사용할 수 있습니다."
f17,재고,품절된 상품은 언제 다시 들어오나요?,"재입고 일정은 상품마다 다르며, 상품 상세 페이지의 재입고 알림을 신청하면 물건이 들어올 때 문자로 알려 드립니다."
f18,재고,매장에서 직접 찾아갈 수도 있나요?,"일부 상품은 매장 픽업을 지원하며, 주문 시 픽업 매장을 고르면 준비 완료 문자를 받은 뒤 방문해 수령합니다."
f19,계정보안,다른 기기에서 로그인한 기록을 볼 수 있나요?,마이페이지 보안 설정에서 최근 로그인 기기와 접속 시간을 확인할 수 있고 낯선 기기는 로그아웃시킬 수 있습니다.
f20,계정보안,이중 인증을 켜려면 어떻게 하나요?,보안 설정에서 이중 인증을 켜고 휴대폰 번호를 등록하면 로그인할 때마다 문자로 온 인증번호를 추가로 입력하게 됩니다.
