id,title,genre,description
b01,깊은 바다의 속삭임,소설,먼바다로 떠난 등대지기 부녀가 겪는 이별과 재회를 잔잔하게 그린 장편 소설이다.
b02,붉은 저택의 비밀,추리,폭설로 고립된 저택에서 벌어진 살인 사건을 명탐정이 하나씩 단서를 모아 풀어 가는 추리물이다.
b03,우주로 간 고양이,동화,우주선에 몰래 올라탄 호기심 많은 고양이가 별들을 여행하며 친구를 사귀는 어린이 그림동화다.
b04,돈의 흐름을 읽는 법,경제,가계부 작성부터 투자 기초까지 초보자가 자산을 관리하는 방법을 사례로 설명한 경제 입문서다.
b05,한 그릇 집밥 레시피,요리,재료 몇 가지로 뚝딱 차리는 한 그릇 요리를 사진과 함께 소개한 가정식 요리책이다.
b06,시간을 파는 상점,소설,잃어버린 시간을 사고파는 낡은 가게를 둘러싼 사람들의 사연을 엮은 따뜻한 성장 소설이다.
b07,사라진 마지막 열차,추리,종착역에 도착하지 않은 야간열차의 승객 실종을 형사가 추적하는 긴장감 넘치는 미스터리다.
b08,숲속 동물 재판,동화,숲을 어지럽힌 범인을 찾으려 동물들이 모여 재판을 여는 과정을 재치 있게 그린 동화다.
b09,처음 배우는 주식 투자,경제,주식이 무엇인지부터 계좌 개설과 분산 투자까지 왕초보 눈높이로 풀어낸 재테크 안내서다.
b10,전통 발효음식 이야기,요리,김치와 장을 담그는 오래된 방법과 발효의 과학을 곁들여 소개한 우리 음식 교양서다.
b11,별빛 아래 편지,소설,전쟁으로 헤어진 연인이 오랜 세월 주고받은 편지를 통해 이어지는 애틋한 사랑을 담은 소설이다.
b12,암호를 푸는 소녀,추리,우연히 손에 넣은 오래된 암호문을 해독하며 도시의 숨겨진 음모를 파헤치는 청소년 추리 소설이다.
b13,무지개 마을 우체부,동화,편지를 배달하며 이웃의 고민을 들어 주는 다정한 우체부 토끼의 하루를 그린 그림동화다.
b14,소비를 멈추는 습관,경제,충동구매를 줄이고 꼭 필요한 곳에만 돈을 쓰도록 돕는 절약과 소비 심리 실용서다.
b15,베이킹 첫걸음,요리,오븐 없이도 만들 수 있는 간단한 빵과 쿠키 반죽을 단계별 사진으로 알려 주는 제과 입문서다.
b16,고요한 산사의 하루,소설,번잡한 도시를 떠나 산속 절에 머문 청년이 스스로를 돌아보는 사색을 담은 잔잔한 소설이다.
b17,완전 범죄는 없다,추리,완벽해 보이던 계획 범죄의 작은 허점을 노련한 수사관이 집요하게 파고드는 범죄 추리물이다.
