category,question,answer
연구비집행,"RCMS에 카드증빙으로 등록한 카드대금은 언제, 어디로 입금되나요?","카드 결제일 전일까지 사용등록메뉴에서 카드증빙으로 등록한 금액에 한하여 결제일 당일 카드결제 계좌로 이체 됩니다. 카드 결제일 당일 혹은 결제일 이후 사용 등록한 카드증빙은 등록한 다음날(주말, 공휴일제외) 사업비(연구비) 카드 결제계좌로 이체 됩니다. 사업비(연구비) 카드로 사용한 사업비(연구비)는 카드 이용금액 출금일 전일(공휴일 포함)까지 사용내역 등록을 완료하여야 하며, 사용내역 미등록으로 인한 연체료 발생 등의 책임은 수행기관에 있습니다. ※ 참고 : RCMS 숙력자용 매뉴얼(66page)[카드 내역 등록시 유의사항]"
연구비집행,개인카드를 사용해도 사업비(연구비) 집행이 가능한가요?,"관련규정 : 국가연구개발사업 연구개발비 사용기준 제22조(연구개발비 공통 인정기준) ⑤ 연구개발기관의 장은 직접비를 사용할 때에 연구비카드를 사용(연구비카드를 발급받기 전에 법인명의의 카드를 사용한 것을 포함한다)하거나 계좌이체의 형태로 사용하여야 한다. 다만, 외국 물품의 수입 등 연구비카드를 사용하거나 계좌이체의 형태로 사용할 수 없는 경우에 한하여 지폐나 주화를 사용할 수 있다. 위 규정 내용에따라 연구개발비는 연구개발기관의 재산이므로 연구비카드 사용이 불가능한 상황에서도 법인카드를 사용하는 것이 원칙입니다. 다만, 카드사 사정 등 연구비카드 사용이 제한되는 특정 상황에서는 실무적으로 각 연구개발기관이 정하는 바에 따라 사유서, 지출결의 등을 작성하여 개인카드를 사용한 후, 이체증 등을 보관하여 개인카드 사용자에게 이체하는 것을 연구비 ‘계좌이체’로 볼 수는 있습니다. 부득이한 사정으로 개인카드를 사용했을 경우 위 내용에따라 RCMS에서 계좌이체 형태로 집행은 가능하나, 집행한 내역의 인정여부는 정산시 정산담당자를 통해 확인하시기 바랍니다. ※ 참고 : 국가연구개발사업 연구개발비 사용기준 제22조(연구개발비 공통 인정기준)⑤항"
연구비집행,해외 참여기관은 RCMS 집행 및 정산을 어떻게 해야 하나요?,주관기관 과제책임자에게 해외기관의 권한이 자동으로 부여됩니다. 전담기관 과제담당자 또는 RCMS 고객지원센터로 요청할 필요 없이 주관기관 과제책임자가 해외기관의 과제를 선택하여 각 항목별 총 승인한도를 연구비(기관) 계좌이체(해외 참여기관 사업비 송금)한 후 주관기관에서 환전하여 해외 참여기관에 송금하시면 됩니다. * 이체 시 증빙문서는 해외 참여기관이라는 증빙서류만 첨부하셔도 됩니다. 정산 또한 주관기관 과제책임자가 사업비 사용실적보고서를 제출해 주시면 됩니다
연구비집행,RCMS에서 해외거래처로 사업비송금을 어떻게 해야하나요?,"외자구매 집행 방법은 두 가지 방법이 있습니다. 1.기관자금으로 먼저 환전하여 이체하고, 발급된 환전영수증에 기재된 원화 금액만큼 연구비(기관) 계좌이체 하시면 됩니다. 2. RCMS에서 환전할 금액을 먼저 연구비(기관) 계좌이체 후 환율 변동에 따른 금액 차이를 부분 취소하여 가상계좌로 입금하거나 부족한 금액 차이만큼 추가 집행을 하시면 됩니다.- RCMS 집행금액 〉 송금금액 - 차액만큼 부분 취소, -RCMS 집행금액 〈 송금금액 - 차액만큼 추가 집행 /연구비사용 등록시 거래처 정보(기관명, 사업자 주소, 대표자명)는 해외기관의 정보로 기재 해주시면 되고, 거래처정보에서 '해외거래' 체크하면 사업자등록번호는 999-99-99999과 연구비(기관) 계좌이체의 예외선택 ‘외자구매’로 자동 기재됩니다. ※ 참고 : RCMS 수행기관용 매뉴얼 연구비 사용 > 연구비 사용 등록"
연구비집행,연구기관 상호 간에 사업비(연구비) 집행이 가능한가요?,"연구개발기관 내부 및 하나의 연구개발과제를 수행하는 연구개발기관 간 발생하는 비용은 아래 예외사항에 해당하는 경우를 제외하고는 계상 불가합니다.가)대학이 같은 대학 내 별도의사업자가 운영하는 회의장,숙박시설 등 부대시설을 사용하는데 필요한 비용 나) 동일한연구개발기관내 계좌이체 또는 계정 대체를하거나 하나의 연구개발과제를 수행하는 연구개발기관 간 계좌이체또는 계정대체한 비용 중 다음하나에 해당하는 비용- 비영리기관이 공동활용을 위하여 구축한 연구시설-시험ㆍ검사ㆍ분석에 필요한 비용 중 연구개발기관이 자체 분석기관에서 인정하는 시험분석결과서를 발생하고그 비용을 분석기관으로 계정대체 하는 경우 해당 금액을 현금으로 계상한 비용-시험ㆍ검사ㆍ분석에 필요한 비용 중 영리기관이 현물로 계상하는 비용-비영리기관 내 중앙창고를 두어 물품을 구매하고, 그 후 필요한 금액을 이체 또는 계정대체하는 비용-단독 판매처 등의 정당한 사유로 중앙행정기관의 장이 인정하는 경우 해당 금액을 현금으로 계상한 비용. 다)다. 정부가 출연하여 설립ㆍ운영하는 연구개발기관과 그 연구개발기관의 분원 간 발생하는 비용(중앙행정기관의 장이 인정하는 경우에만 해당한다)※ 참고- 국가연구개발사업 연구개발비 사용기준(고시 제2023-49호) 제21조(연구개발비 공통 계상기준)"
연구비집행,사업비(연구비) 집행시 등록해야할 증빙문서(증빙서류)는 어디서 확인 가능한가요?,RCMS 홈페이지 > 정보마당 > 비목/증빙정보에서 필요증빙을 확인할 수 있습니다. ※ 참고 RCMS 홈페이지 > 정보마당 > 비목/증빙정보※ 참고 자료- 국가연구개발혁신법 매뉴얼(2023.03) 제3장 연구개발비의 지급 및 관리
연구비집행,사업비(연구비) 사용내역을 확인할 수 있는 기능이 있나요?,"사업비(연구비) 사용내역 조회하는 방법은 아래와 같습니다. -연구비현황 > 연구비 집행현황 > 세부비목을 클릭하여 조회, -연구비현황 > 연구비 사용내역, 연구비사용 > 연구비 사용 결과내역- 연구비사용 ▷ 연구비 사용 결과내역 ※ 참고 : RCMS 수행기관용 매뉴얼 연구비현황 > 연구비 집행현황, RCMS 수행기관용 매뉴얼 연구비현황 > 연구비 사용내역, RCMS 수행기관용 매뉴얼 연구비사용 > 연구비 사용 결과내역"
연구비집행,연구비 이체 결과가 집행(이체)대기로 나오는데 어떤 경우에 나오며 어떤 상태가 있나요?,RCMS는 연구비 이체가 이루어지면 단계별 진행을 통해 계좌이체를 하고 있습니다. 집행(이체)대기 > 집행(이체)처리중 > 집행(이체)완료 위와 같은 단계로 진행되며 집행(이체)완료는 최종 거래처까지 연구비가 지급됨을 알리는 상태입니다. ※ 참고 : RCMS 수행기관용 매뉴얼 연구비 사용 > 연구비 사용 결과내역
연구비집행,이체완료후 세부항목 수정은 어떻게 하나요?,"연구비사용 > 연구비 사용 결과내역 '내역수정' 메뉴에서 수정가능 하나 아래 사항에 대해서는 수정에 제한이 있습니다. 1. 연구비(기관) 계좌이체 가능 세세목에서 연구비(기관) 계좌이체 불가한 세세목으로 변경하고자 하는 경우 2. 인건비내역, 연구장비정보 등록후 부가세 복원,사업비(연구비)부분 취소한 집행 건 3. (본예산+이월금)예산으로 사업비 집행후 복원한 내역.* 연구비정산 ▷ 정산준비 메뉴에서 전년도이월금사용등록통해 (본예산+이월금)으로 사용한 내역을 전액 본예산 혹은 전액 이월금으로 수정한 경우에는 가능. 4. 기타증빙(기타 예외 항목 지정)으로 연구시설장비재료비로 집행한 건 5. 전담기관 과제담당자 자계좌이체 승인 건 6. 보고서제출 완료인 경우 7. 보고서 반려 이후 집행 건이 인정, 불인정, 부분불인정인 경우 비목우선증빙으로 집행한 경우 하나의 세세목으로 증빙파일이 일괄 관리되므로, 증빙문서 및 세세목을 변경한 경우 같이 등록한 여러 건이 동일하게 변경됩니다. 한 건의 증빙문서 또는 세세목을 변경하고자 한다면 연구비 복원 기능을 통해 집행한 사업비(연구비)를 취소한 후 재집행을 통해 처리하셔야 합니다. ※ 참고 : RCMS 사용자 매뉴얼(97 ~99page)"
연구비집행,연구비 집행 금액 총액을 공급가액으로 집행한 경우 공급가액과 부가세로 수정할 수 있나요?,연구비사용 > 연구비 사용 결과내역 메뉴에서 ‘수정’을 통해 수정이 가능합니다. ※ 참고 : RCMS 사용자 매뉴얼(97 ~99page) 연구비사용 ▷ 연구비 이체결과
